comment_id,video_id,comment_text,like_count,comment_date,channel_id
Ugw_3djQukXHcCMOsHt4AaABAg,nY0jbB6rQpQ,"Imagine if he made a scene, a historical photo would be so much different.",14870,2023-03-17,UCrzqZLQ2VcerxqIvo92asLg
Ugw_ACa7g6wwZyskKWp4AaABAg,Jml8-7o3_MQ,$20 to the nearest Disney Cast member should also do the trick,1107,2023-04-26,UC1o8vwmcXdKF0oIXmyy_bsg
Ugw_cof0LfNq20TVJLx4AaABAg,O6PXiLGENPY,Here in 2026 thinking about pearl’s struggle lol,231,2026-01-27,UClxOpfXS-e-H4irZFiR7cKA
Ugw_qf2f_ezM40rI-0V4AaABAg,_Wf8Sc4k7Io,Gen 9 really did all it can to break every fan term possible,4509,2023-07-11,UCOyTcIxB4JsEedbMznGe33A
Ugw_TKj2B5N8JodIfRd4AaABAg,LGwY64UFWzs,No but y'all can just simply walk towards me no need to attack me like that😭,453,2022-06-07,UCMMkhEn23vvjqNmN-YKWUHA
Ugw_u35EAKoyDIJDB3t4AaABAg,O-RazxP2mhw,So easy and effective. Thank you!,0,2026-01-24,UCO8fW3szgxfkO3YSu9kz0cQ
Ugw_v0l1wogDsO9-CYh4AaABAg,T3xXp3ZcFfQ,I appreciate that every time he says “pretty cool right?” It actually is pretty cool,33770,2021-12-24,UCO-DZzWoW6IXE4Ly_TajoEw
Ugw_V2ETNJxVHAXPdrx4AaABAg,JXGj-U0T86I,Ok the first photo made me laugh so hard,27170,2022-06-18,UC3JTaPHT8QC4Ymy0USCUuHQ
Ugw_V3Up_Ga3EgJi9jB4AaABAg,dDudD4z8r6E,The passion in his voice when he goes “Der Rote Barron!” Has me crying,12856,2023-06-26,UCG4HezjMbme6BAWNoa2IkkA
Ugw_W5hJdT0ayWflhlR4AaABAg,KzKKbCTacf0,Thank you!!,0,2025-11-03,UCgdBfebOeYo3yvnkluUxJIg
Ugw_WGWHDQdFWxoLsNR4AaABAg,c7ENeKBhJzY,"Happy(or Tony): “Hey Peter—where’s the hot aunt?”
Peter: “Stop calling her that sir!!”",1755,2024-04-04,UCwOi36fgoKNjAnYhgTyOlrg
Ugw_yChRfAA5Ef2t4Nl4AaABAg,sPC04C0K5SI,"""this is cool!""
The comments: ok get in ⚰️",6423,2022-05-26,UCmKtTQes5fsAh6yQu4eTKnw
Ugw-_qEX-1MP94a-Pqd4AaABAg,sJdYAsnvQo8,"humans “makes code that translates to English”

Alien with a English degree “thank god I took English in college”",11804,2021-06-30,UCmIKSKR6ZGbb8SApEZNSpjw
Ugw-_tvlZzPkX0GFhFN4AaABAg,lsr7SvS6Nhs,He should add stars in that room so it would feel more like he's in space.,7088,2021-06-05,UC4OR1BFKMDl55FEAjJETTtw
Ugw-0Ztm32F3tNPLDcZ4AaABAg,rA52zPpT0kA,i’m so glad liam recovered and is cancer-free now,287,2023-04-21,UCyRi3LApZRovJr6DMn2aTdQ
Ugw-5bT_KSP5eBhRyR14AaABAg,19pA4LpY8Uw,"The way he's talking, showing, and explaining everything he makes me feel better already 🤪🤣
The most positive person I've seen ❤
U could listen to him all day long 🤪🤣🥰",67,2023-12-06,UC01H4r34az2itCu8Kmbx_3g
Ugw-CoNysEbaot0tAiJ4AaABAg,ADVV-lVjufs,I've got the .25-06 an absolutely love it great deer gun flat shooting hardly any recoil and just fun to shoot,16,2022-09-17,UC5r7Ans-R3KIebdsg15e18w
Ugw-h_k0EYe4Kx96tuJ4AaABAg,lsr7SvS6Nhs,I know I'm not the only one who thinks this looks so peaceful.,485,2024-10-21,UCf3ZGgGXJEBNR9vZgRDmNrA
Ugw-HtFokWB3giLPSuZ4AaABAg,ekr2nIex040,"She looks so happy I'm crying😭😭
Let's support her guysss",56475,2024-10-18,UCJjx6jjULrAic-7_nvJYipQ
Ugw-J3gDQXWaV3MTx6d4AaABAg,n_8mi5Jzk0k,"Thanks bro! Now I can finally use the phone I stole from someone! You're a real lifesaver, God bless!

Edit: we're in boys",8114,2021-05-08,UCJFHFa3rqfhfYMEh6nGHXzg
Ugw-KhD_WScP9m3tU_54AaABAg,IHkjxLo6jfM,Imagine finding a disease and they give it your name 💀,2010,2022-12-11,UCUc1nSbn3knq3YwdhDjuL-w
Ugw-KWoQvDxLXuW7Gdp4AaABAg,WJfhTGreRCQ,You are one of the few people I see teaching it correctly,635,2021-08-27,UCVcO9exzWlJ3xVcH4NxOMFw
Ugw-N5i65YX_14cvcqd4AaABAg,IHY3X7fY6bY,"Thank you for this, I was going nuts",0,2026-01-17,UCTQMFIpK8jwko1LGrabUTlg
Ugw-pKrBN3XUwfZ8RRt4AaABAg,_LfhcJ3MWK4,I just did your metal warm ups yesterday and I was surprised to be able to put on some gritty vocals without my throat hurting. I still need to work on stabilizing and maintaining the tune but it felt so nice having a first step to that. This is the most legit channel that actually gave me results.,3803,2021-10-01,UCtlkeelyGj28Bc5KKKdLRow
Ugw-PlaQNFAZkM4JtgR4AaABAg,MpApxmvcd3M,Nile is kind of person to say “hmm it seem like I have ultimately combusted in into flames”,980,2023-08-04,UCUxSfCt-V9ZqWYEWqwU6gWg
Ugw-r9FeGB1bbDMSJTZ4AaABAg,iRnfK3FFb9E,1:43 too good,2,2025-06-21,UCevzsZJ5lbB_szbNbvC_sFA
Ugw-uOGFVrpZ0DIUbNF4AaABAg,1SrqYHgPOx4,"Magnus opened with E4.
Then closed with WC.",6932,2025-02-23,UCIqsCH6aTduWXBTAkwNEUyA
Ugw-VnskIjPJRwg2S0F4AaABAg,wCQv6YuSGeY,"“Honey why were you at the lake for 4 hours?”
“I was having lunch”",14132,2023-05-28,UCh-wRCgLutP3UCZhjSt9QFw
Ugw-WI3rbHy8Ej8jtSh4AaABAg,r8lZlol2DbY,Even the orchestra makes it even more historic.,17041,2022-10-09,UCU29i41z9GmzOTpYxZK_cAQ
Ugw-WoeWH9nNUzmc18p4AaABAg,k2qgadSvNyU,"Dua's Rules:
1. Don't pick up the phone
2. Don't let him in
3. Don't  be his friend",5858,2021-05-25,UCADgUl0KG7HXZOQ9Ye1ju9g
Ugw-XuvUxUNLSqPXBrF4AaABAg,fLexgOxsZu0,"Mom: **DO YOUR HOMEWORK**

Me:",579,2019-08-24,UCcWQNNORRpEPhCeBZKiBVwQ
Ugw-Zj9oonBulVDVRdZ4AaABAg,6DEqpCajJR8,"On one hand, such an instant death is so terrifying. No time to react, no knowledge that this moment is about to be your last, yet at the same time no suffering or fear.",73764,2024-08-17,UCDAfA6gvSXBLIIs2en12izA
Ugw0_5xOzQMrQpUKFT54AaABAg,QCEhA_CwwfU,"""Hey dad, i got a B""
""Wow, thats BONKERS""",2984,2022-06-15,UC8b25U9XoolfTJyzXdG9UaQ
Ugw044-y9k9mJW6I2NJ4AaABAg,irvYL7PEHrg,I would never understand that level of intimacy to music,22,2023-05-12,UCJ2tzPU9C3GV84DxiOhGF8w
Ugw0DNbjEujTtjrEIeh4AaABAg,FKs_lc33Wmc,"Judging by Grant's expression, I'm guessing that he made some of that soup… 😂",87190,2022-01-03,UCOZW0tGmLFQKwNdnusrBUlA
Ugw0dQpwWEyzImF5ebZ4AaABAg,PlnfWk2hmQc,"As a child I was crazy, one summer day I was out with my friends, I was in shorts and slippers. In the staircase of the building where i live there was a window broken in half, I couldn't bear to see it like that and I decided to break it... I break myself, when I took my foot out, a sharp corner of the window penetrated my Achilles tendon, when I saw a lot of blood I faint, I woke up in the ambulance. The doctors at the hospital nicknamed me ""Achilles' Tendon"" lol.  The recovery took about 3 months, after 18 years it is still swollen but there is no pain and I had no problems",218,2023-03-30,UCRlYAaudTDLtBpe3NXU7v8w
Ugw0px7c7u-8JTNgCFl4AaABAg,THw-wXt7wyM,Internet history getting recorded by your internet provider is still the scariest camp fire story for me. I still have nightmares,971,2023-09-02,UC1b92TQ3f50-4I1ESVe80Gw
Ugw0QbQLpuiJ3yTan9x4AaABAg,M9XhqdwSAGI,"Bullet after colliding with Polyethylene layer: ""Bas yehi tak tha jo tha""",4558,2022-05-22,UCJ3PxHJG9n_0yggZZ9n4QUQ
Ugw0QCUycDtfPG8Uiv94AaABAg,OzowL8jaSY8,"“Uh oh, here comes Mj.”
_“Got it”_

*takes out umbrella, gas mask, and oxygen tanks*",7012,2022-04-23,UChtOYJ_sn05D13ujmnMMCOA
Ugw0QQzZv5rGkqyGWdJ4AaABAg,t-nOVAFE6M8,"""the rules are very very clear"" there is no way he wasn't expecting them to fuck it up 🤣",4568,2022-07-04,UCmbHclI3GiCiH8ec94OnJpA
Ugw0r0WzFO69t0AogfN4AaABAg,gkmKUBuo6hU,I don’t want to walk anymore after watching this 😂😂😂,1354,2020-10-26,UClFRf2mQH_iliBLNuD7md-w
Ugw0S832XRgA0c8ijwN4AaABAg,5K3MU9z97QQ,I’d love to see a video on the logistics of getting your food/ gear to you along your journey,0,2026-02-22,UCu9v8RQ33AatkyEZ_v3RUVQ
Ugw0yn45YoaXVVjdeK14AaABAg,ekr2nIex040,I missed those random artist collaboration we used to get back in the 2000's. This has those vibes and I'm all here for it.,486264,2024-10-18,UC-K5Fq80JmyINxi4U2fbmmw
Ugw18kqi3T-Iocwy9gF4AaABAg,cGELvtwYEcU,"The 1st video i watched of them, they had so much hate on that video from trolls. But I liked their video alot. Their travel videos seem like really helpful for other travellers.
I like their videos.",272,2022-06-01,UCypQEagHDMww1_aVBb1OAAg
Ugw19ExgFwsvKSyOv5R4AaABAg,nXnu1G_CH10,"I use different bridges for different situations, but i use a closed bridge primarily",348,2023-06-12,UCn2nLthRrC9IGCDakW3zBHw
Ugw19y-Y6v0phLdppJN4AaABAg,CQjD1FtWF0c,My mom survived cancer last year God is real guys,214,2026-01-05,UCgYl87VLEHAO6_GHUuQy1hg
Ugw1E5qgpqQpn_IQzZJ4AaABAg,qitOInkuV3M,16 passes... all attacking oriented... amazing,13089,2022-04-20,UCDDwp5z_G6FD73halRZ6HNw
Ugw1eWjJIRif0rpI7lR4AaABAg,u3DY6je2Kvk,When a block of wool is more useful than the squid some youtuber asked the whole community to vote on,342,2023-08-16,UCniF8NWu57sdU2Cw522AP4A
Ugw1fbWAhbieJYwuSXx4AaABAg,BOQZXKvH9Js,"Lmao yeah definitely a ""crazy conspiracy theory""",3799,2022-03-31,UCI8ClTXWVonOZBXCC_sHIKg
Ugw1gfzKQ2E9bJmaedZ4AaABAg,rK5TyISxZ_M,"""FIND YOURSELF AND LOVE WILL FIND YOU!!""",1241,2026-02-04,UCFW9DxVfylXvTLVcETFscjQ
Ugw1GsGCu5OvwmDPM6x4AaABAg,YezT87PSv6o,We destroying 100elo with dis one🔥🔥🔥🔥🔥🔥,15,2024-09-08,UClT4o5gCaqSf5FJDdknKh7Q
Ugw1gx9pu0PGgPJl7cJ4AaABAg,IZDH4zieLEM,What’s amazing to me is how great players look like they are smashing it but have total control. I think that’s the secret.,206,2023-09-16,UCUpPWjJ-JVLxwQoUNPq3YKw
Ugw1hbJbSNmglJrqK254AaABAg,3wxQooYnZwQ,All that and he still managed to keep his hat on.,139,2022-01-26,UCWgJzhlCHjlzWbVeTBrSekQ
Ugw1iAyyDV_jrd4vDA14AaABAg,0YYVgDhVf7s,Are we just going to ignore the fact that he took a bite out of the twix and kitkat instead of breaking them.,416,2021-11-03,UCengaYssmqG0fpW_0u79LxQ
Ugw1lEu5mEIAftB0cFh4AaABAg,1SrqYHgPOx4,"Interviewer: What was going on in this game?
Magnus: Shit happens.",122856,2023-01-24,UC_SeiIY4JbzbKuu9oKOCbIA
Ugw1mkS7mE-G2eE0WGR4AaABAg,cGELvtwYEcU,Don’t think I’ve ever seen two people that are so perfect for each other.,741,2022-10-08,UCBP4hpZRtV8xJ-U_Nce83Aw
Ugw1n1MBqllsZP_IgrN4AaABAg,DH4J8xhxRqM,i literally made a playlist of your videos named SAITAMA . man  you look so similar to him,488,2022-01-18,UCxDIkEOnMi9G4vSd-iQE2xw
Ugw1OACr6G51k9oCZPl4AaABAg,FPe3TAKOT9Y,distilled water: shows spring water which is full of minerals,5746,2023-01-22,UCYF7yUQzZBQ7TtbcWsIOa3Q
Ugw1RFTcII4QlFsTmLh4AaABAg,idYAqwUOxZA,This is tonight’s dinner. Thanks!,14,2024-06-03,UCL9l1VFd1RAuR0F61kYlweA
Ugw1S4YPrWh5oMZburh4AaABAg,RcKv_X6O2so,This guy is the poster boy for retiring to Florida.,459,2022-10-29,UCw5_py9hjKr5o5fUBpRWcBg
Ugw1T2hBlg20ulhFEJp4AaABAg,CKEK3pC7krg,Who's here February 2026 🎉🎉🎉🎊🎊🎊❤️❤️❤️,7,2026-02-22,UC7dr3lSoxXIMt5yuSQ28suw
Ugw1uh9hEw15Rhy0A6V4AaABAg,yGDkiUAwxRs,New War item unlocked.,100,2025-09-02,UCVcscM68UAOZHTHE4pHPjDQ
Ugw1weLvFO2xSMmkGkF4AaABAg,eNKIH2Kd4_A,Give. This. Man. A. Fish.,10494,2023-05-11,UCmJbPOtEJtxqsQfK4QRR6TQ
Ugw24Mv4Jb2JosqPw4x4AaABAg,RAirJi8ufok,I've watched 4 different tutorials and this is the best one. Thanks,13,2025-06-28,UC292B_91g19ghxUZaDuVW5A
Ugw2bVkYnVXcAd6_b1B4AaABAg,rWssyQD1uMw,Would you ever consider spending $100 on a screen protector?? 😳,7803,2023-06-15,UCMiJRAwDNSNzuYeN2uWa0pA
Ugw2dUpP1lyLHvtGJip4AaABAg,7ahP8Mt8sFA,Game name,0,2026-02-23,UCOSy5eep7oPja-E2dVHtCFA
Ugw2Era4cvQCskQJLTN4AaABAg,r544z5OTCYY,As of ballet dancer recommend getting second skin and using the same tape you use on top of it works really well,4078,2022-07-28,UCW4k_tn-FYFimlXbTyLtMow
Ugw2RFpDR9pBm7aMqgJ4AaABAg,O-RazxP2mhw,😮 Genius! 😊,1,2025-06-18,UCJXFIhpkiqEzz80SN1Y7iFQ
Ugw2Suh3BrQBmHRXpGp4AaABAg,7wtfhZwyrcc,"When you realize this was 8 yrs ago:

It's been 84 years..",7449,2020-07-01,UCdf3A1BgV8F1HdreGWAHSTQ
Ugw2ZW3i10BEZi24AL14AaABAg,ZCt01B1CVq4,This was a beautiful exchange.,5140,2022-10-31,UCDCHalfvxv9tDeZzweXvV-Q
Ugw31l1VuiSNUhssNSh4AaABAg,imJFJTXJX48,i love that type of test,225,2025-03-30,UCZxTB9LIMjZKuAEj8tFpTEg
Ugw3983eaPcC7UFE5tF4AaABAg,uOrENBYWQOU,"its not supposed to remove taste, just bacteria. And for those who don't think it is reliable, WFP (part of the UN) uses lifestraws to help supply clean drinking water in places where it is not easily accessable. it works.",1646,2024-03-02,UCvzC3cPRZpDc5k78SXTnGQA
Ugw3BSDS_Mo8clPw62d4AaABAg,dDudD4z8r6E,The aggression of “80 confirmed air victories” is just perfect,157176,2021-12-25,UC14LLCMQiXekRDEFdD6XZlg
Ugw3DRt7h-LVOfnaS6h4AaABAg,-ismJsHdsJo,Did you know: There's a small percentage that theres ancient debris in the nether ceiling,846,2021-07-07,UCxNmkQNxQ8zLCxkJlSgZzwQ
Ugw3gEO0VRsuaCPPqel4AaABAg,Ad8VqD6PATQ,"I’ve watched about 70 videos, read about 20 reviews, and purchased all of these, clicked on this video and the same recommendation is up. This is a good video",271,2025-01-20,UChxJRpfhKX9qNkN_ooiv3JQ
Ugw3GMybyD42mU-gZG14AaABAg,0XpxDdmDQyw,Kopege ve koyuna asik olmam nokmalmi❤,3,2025-03-15,UCIyttYFkF-x-3Vn5jc_7Y7Q
Ugw3IfJX1ScFSrQnFRd4AaABAg,dO7VcTrZKjU,Sign of a healthy community and good people.,2692,2023-06-01,UCTUhUwjU8wcCnGJuNikknOA
Ugw3K7ibqCCOPwDYVCF4AaABAg,DH4J8xhxRqM,"Just tried this on my rooftop by 5:30 a.m. 
Now commenting from hell ....
Yeah it really worked 💪",95,2022-03-12,UC8SxMOiA99RDG5RV5THQ8Kw
Ugw3kxpD4TuawIOPqEV4AaABAg,yGDkiUAwxRs,After the explosion the neighbor called the cops and he was charged with battery.,77856,2024-03-08,UCeRb_cGsM-nJwmJ2iSlL-7A
Ugw3o3WVn45NRkrHKdB4AaABAg,ZCt01B1CVq4,"Amazing point! Doubles isn’t usually quite this exciting, the points tend to end much quicker than singles…but when they do get long rallies, they’re epic",312,2023-04-07,UCkyo8tBUJxr6_b1sMvKE4rg
Ugw3P4AMi1Iyqp6qsCV4AaABAg,RZQoxELDVVk,I am seeing this after you have purchased your new cabin and I am so happy that you don't have to apply anymore because you both (and Grimm of course) seem to love it so much when you are at those cabins and now you have your OWN xx,21,2024-11-27,UCFUjNqRcBI-t8Fh_coygLdg
Ugw3PRqCaxxlX-unWBp4AaABAg,2qMJ-_myWuI,Li had to watch it 4 times to realise it keeps on repeating😅,302,2023-09-10,UCia6ui7z5N-iczz0aMQRc3Q
Ugw3QbXDHXOgz28PWld4AaABAg,fO4ViYDw2l8,We lost our daughter in May...She had an adventurous life...I can hear her singing this in my head..😢,132,2025-11-13,UCOA0Rp09iPezzcQPEmZU24g
Ugw3Uq6J0m1YqUvpa5V4AaABAg,77gFoiRxHto,"I kinda feel sorry for the doves sitting in his sleeve and for them not to move in there, lets just say the hidden pocket is very tight.",8581,2022-08-31,UCPpocBLcB3xBp7nDSAEEFjg
Ugw3Z-CAGMXSWhEOAHd4AaABAg,g5Ff_5FLKYU,Thanks random 20 second video for making sure I have pants to wear to work tomorrow. Saved me a major headache ❤,43,2024-04-17,UCcGkksVSRauOACO3u59gMOw
Ugw45VrwI44WU4eVTR14AaABAg,kffacxfA7G4,"The girl in this song may be like: 
Not even invited for marrige.",873,2021-01-07,UCP-VZQJIOuz0GfhnOqnY2fw
Ugw47oJWFN4TRAkZbDx4AaABAg,1Nef8LPO-jo,“Imagine if someone shot this in your eyes” 😂😂😂,1541,2022-11-01,UCT0F8voh-R28zz0ci5OeRWw
Ugw4aMGsY5F5FLf6CCh4AaABAg,z5EWf0gGoms,"""Babies apparently have iPhones now""

*Gen Alpha has entered the chat*",614,2023-06-11,UCebnXOWSqujxsa8KVMNG2Hg
Ugw4CyLCXWw2R5IMeOZ4AaABAg,IHY3X7fY6bY,"Frank explains everything very clearly!
I appreciate that.",51,2023-08-04,UCfRgvTRHFqcHjDirsCXUSHg
Ugw4dQan5tdP1p_n3rB4AaABAg,bcqKV9Wh3t8,Me: *anxious about the fire getting to her fingers and burning her*,709,2022-04-09,UCLZGNOxf4mIuDEcNkX5M-Iw
Ugw4EBHjn2m2cDwlpPV4AaABAg,t-nOVAFE6M8,"“I thought we had to use cards from Legends”
*with genuine panic in his eyes*",5299,2022-08-11,UCp9mdzaU6JCsXncppU6dfsA
Ugw4IsnvVmPFEEO5f2R4AaABAg,HAl8_NuxyhY,Do you have a video discussing how to place the arms on the chest at setup,0,2025-02-27,UCW_3CGr9Fm6JkRpwj5rrDoQ
Ugw4LzCL4anawEh0vfN4AaABAg,5nosjSSf3io,That manager is a expert choosing attractive girls 😂,13562,2023-04-17,UCUeY8WKtFYKJUJpxc3_bjBA
Ugw4MmjJdzumyxNxx7Z4AaABAg,lghlkDA1gVY,Chandler:DIAMOND BLOCK this really got me,5,2025-12-24,UC-0_MbaC5i2fBmQpv7ubolQ
Ugw4qS4GZlNrJYszhYt4AaABAg,eNKIH2Kd4_A,"""Lion right? ""
""No, fish? ""
""Red fox! ""
""FU-""",1688,2022-11-12,UCDAUJXgX7AQvDEK4tW3P7Xg
Ugw4SHj-lvJpb7JIw294AaABAg,nXnu1G_CH10,I hold the cue backwards to confuse the enemy then accidentally win,19,2024-07-17,UCPIaHsY9yhQbK0cTAWLkVdg
Ugw4SNwjtWxY_6AMy4N4AaABAg,LjhCEhWiKXk,Any one February 2026👇🏻,1114,2026-01-31,UCo4hBycpmGYvgs6qq-R4NZA
Ugw4V4wWa2XTVDuYCJ14AaABAg,4iYX208i9N0,super classic youtube short SUPER LOVELY,90,2023-11-05,UCuyHPSwe9pDAdR87GCWnEvA
Ugw4vLyQ2jYYcTClF9J4AaABAg,cqREznICF54,the hat basically increases the soldiers headshot hitbox,18350,2023-03-28,UCcPSs5lLto91B_Pbujk5bOA
Ugw4YT6_6FEnCHbhB0N4AaABAg,fki6bCXwIHQ,the video of billie reacting to it isn’t really it’s an interview of her where she reacts to something else,176,2025-11-15,UCizH2ngXO7tqfLedVJqbjgQ
Ugw4zeVgK5ucgvCxWat4AaABAg,L3wKzyIN1yk,"As someone who isn't a human, I can still relate to this",14833,2023-03-30,UCeqgAkvQGS1zcubYtLeUifQ
Ugw57HpahO-3jnshQtV4AaABAg,xQtvU2kXK44,the use of a slide on his bass with an echo effect to create the ambience in the middle section of echoes is another example of Waters’ brilliance,147,2023-04-13,UCegXgztdy2IM9EEPdZR19KA
Ugw5AGXPet8MIgH88dZ4AaABAg,dT1FiFYvQWc,So yummmy😊,4,2022-09-07,UCK-Y4zAqW1dILru7uffeFog
Ugw5IsOCiqxSzG1geex4AaABAg,MzIen6fSQwA,"When done sifting with the strainer, pour hot water through it (into the matcha) so that none is wasted.  ✅",30,2025-03-19,UCluxb9aDEBaxaksIqWqLc_Q
Ugw5l2xuBLB3TriC6ER4AaABAg,Rvmvt7gscIM,It's absolutely fascinating that we're able to see this-AT ALL!,319,2025-02-07,UCDhEHNt6Fmgt6CQsGTNg3UA
Ugw5NFNdsMPKoyHg2PR4AaABAg,BclvXp0t-G0,She is the favorite singer ever I wish you was my mom 💝,0,2026-02-23,UCRpeqwpPiySBvNHorfK5D9w
Ugw5ovPIFokgHbSAsGd4AaABAg,IVFxdkQs5JU,i have never seen such perfect strawberries ever in my life.,695,2022-08-02,UC5ixGj1RdLdkRUNLPvqoAnA
Ugw5uLhttszjF7yfnLR4AaABAg,sPC04C0K5SI,"""How spicy do you like your pizza?""

""Brain damage""",3154,2022-05-29,UCAlLydeYppttWE97kigiY1A
Ugw5yiYcpBK5Bgn_4ZF4AaABAg,jk6thMe6Vq8,"Doesn't live in desert biome because it's ""ugly""

*builds dirt house*",21227,2021-07-22,UCKbL6Jjg6XiesPD4YNDOKNA
Ugw5ZxGzTyWFCw363TF4AaABAg,ta3717Xo2Ro,"Bruh I learned it in school while playing with pencils...
I always thought that it was the wrong way but turns out it IS how you hold chopsticks
Lol.",182,2023-01-02,UCqStsyf2xNicS7amvXEYJMQ
Ugw602DyATYb4e1HYEl4AaABAg,ImzHlWdalhc,My grandma taught me that when I was small. I remember being in the kitchen with her before I even started kindergarten. Wow that was five decades ago.,1381,2022-12-25,UC4TisyywXgVI_k-HDBk7EUQ
Ugw648WE_Sw0sFDFEhN4AaABAg,QfX3osZFLeo,Thanks for the recipe,3,2025-02-01,UCGZ267wxLcXn-Vm2gB8TZwA
Ugw64xLpZTTmBpsDHQN4AaABAg,ckJwwJDQHHU,"Indomie is just so damn amazing, I would eat it during my Zoom classes and my teacher was like ""I don't get paid enough for this""",1608,2022-06-19,UCjvUhS19bLzEfVXcdW7lxMQ
Ugw69rNrSwveY4o_sUR4AaABAg,7ahP8Mt8sFA,REAL FANS HERE MAIZEN?!!,6,2025-06-07,UCxqjX8OQQk5cIAYzaqrM3lA
Ugw6QRlo9RhyWIr_8PZ4AaABAg,_XMSbdalHDQ,"""Is that you or the bread talking, Mr. Lahey?""

""I am the bread, Randy""",4140,2023-04-12,UC6UWkcaDDD21q7D4GfdQ8zg
Ugw6rV1MRBSh-YYdgx94AaABAg,1D66NgT4EkA,He is an amazing player and he has every right to be this funny,438,2024-06-05,UCFQWrf6mSjtJtTXmyGPEK4g
Ugw6Ssb7JLpJSVUuimR4AaABAg,SNp8fDp9zAU,"Hands down the best chemistry shorts ive seen. 

Thank you and please keep it coming!",30514,2022-10-05,UCNo2SbRSmTl1TqQJXjgb0Jg
Ugw6SZhK-nREwpKI-uh4AaABAg,GZx2n_sOGj8,The camera quality is so good! And thank you for answering this! I was wondering if it was worth it.,183,2022-03-02,UCdfkTysJE9xAFQRDIJQuPJw
Ugw6TzxPAlkZ21XIQz54AaABAg,52r4gEIGslc,"That’s no ordinary peanut butter, it’s… CANADIAN PEANUT BUTTER!!!",56614,2022-05-30,UCZroSkzvxrhE4VzEtFoDd2A
Ugw6UuaFMxqu9aRNDZh4AaABAg,rGBe0cznRB0,Why does this have bad music ? This is actually pretty impressive,2588,2022-05-05,UCpGX1OzVmM_zRW1urNjbz8Q
Ugw6WB_avT9uzFilcNV4AaABAg,28xjVV_b4oQ,"Ali, a man of honor. There is no glory in beating those who cannot properly defend themselves.",889,2024-03-09,UCDdf1Hb2Zt7PxyE72-tMFNg
